site_i,site_j,count_unique,count_weighted,mean_energy_eV,weighted_mean_energy_eV,delta_from_global_mean_eV,delta_from_weighted_global_mean_eV,distance_ang,shell_index,shell_distance_ang
1,8,97,702,-3061.40706486299,-3061.412170262877,-0.04592974514753223,-0.04752561717850767,5.014645358889849,76,5.014645358889849
1,7,105,766,-3061.405834407524,-3061.4111806148308,-0.044699289681375376,-0.04653596913203728,8.343253959908324,216,8.343253959908324
4,9,17,124,-3061.393995071765,-3061.4098400483877,-0.032859953922525165,-0.04519540268893252,7.993565352321746,201,7.993565352321746
8,19,16,120,-3061.40839723125,-3061.409542013,-0.04726211340766895,-0.04489736730147342,5.307962872251924,93,5.307962872251924
1,19,118,908,-3061.4044036275423,-3061.4051879182816,-0.04326850969982843,-0.040543272582908685,6.888273727709581,160,6.888273727709581
1,23,72,548,-3061.3972469031946,-3061.404715978759,-0.036111785352204606,-0.04007133306049582,7.981495963031801,199,7.981495963031801
4,16,2,12,-3061.4073393,-3061.40440378,-0.04620418215745303,-0.03975913430122091,5.544079515126543,114,5.544079515126543
5,13,37,280,-3061.403177285946,-3061.404146200429,-0.04204216810376238,-0.039501554730122734,6.931283999001242,165,6.931283999001242
11,23,34,268,-3061.403745860588,-3061.4021915582084,-0.04261074274563725,-0.037546912509696995,5.468093892685837,104,5.468575566085367
1,17,146,1116,-3061.4006381419176,-3061.401558165449,-0.03950302407520212,-0.03691351975021462,7.959773105029143,197,7.959773105029143
10,20,39,308,-3061.398707867436,-3061.4000748714284,-0.03757274959343704,-0.03543022572966947,4.498248523400495,48,4.498160304763271
9,14,72,534,-3061.398358806806,-3061.3984558633333,-0.03722368896342232,-0.03381121763459305,9.46933294264713,247,9.46933294264713
9,12,73,542,-3061.39994887548,-3061.39798359428,-0.03881375763739925,-0.03333894858133135,9.983157125747821,252,9.983157125747821
4,12,3,20,-3061.3809495366663,-3061.3960500480002,-0.01981441882389845,-0.031405402301516006,3.127532466762579,7,3.127532466762579
1,5,125,910,-3061.3898619188803,-3061.394930768351,-0.02872680103791936,-0.030286122652341874,8.796941306231924,227,8.796941306231924
11,14,38,290,-3061.396133707895,-3061.394905759862,-0.034998590052509826,-0.030261114163295133,3.2470971712180767,30,3.2470971712180767
7,20,17,128,-3061.390023757059,-3061.3949047271876,-0.028888639216802403,-0.03026008148890469,5.281903466139796,92,5.281903466139796
12,13,15,114,-3061.3925911566666,-3061.39479722807,-0.0314560388242171,-0.030152582371101744,3.243056628698508,28,3.243056628698508
9,11,86,646,-3061.393083391628,-3061.394694756286,-0.03194827378547416,-0.030050110587126255,6.940966032094938,167,6.940966032094938
9,13,83,622,-3061.3914608193973,-3061.39347026984,-0.03032570155482972,-0.0288256241410636,7.563647628300732,191,7.563647628300732
8,18,19,136,-3061.3839447936843,-3061.392672007646,-0.022809675841926946,-0.028027361947351892,4.6248625153226035,60,4.6248625153226035
6,14,6,40,-3061.3847971433333,-3061.392601897,-0.023662025490921224,-0.027957251301359065,6.805921511222726,156,6.805921511222726
5,14,46,352,-3061.392624105652,-3061.39076067125,-0.03148898780955278,-0.026116025551345956,5.129514721118093,87,5.129514721118093
4,7,2,6,-3061.404284845,-3061.3889059499998,-0.0431497271574699,-0.024261304301035125,3.199872401707602,19,3.199872401707602
