shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
131,5.73998582137252,1,132,0.04027843236553963,0.040785079311029135,0.030715601959148506
132,5.868313928713915,1,84,0.08574733379418831,0.08643057947920285,0.052043775883169094
133,5.897984407753326,1,68,0.12667961805209416,0.1274955125395144,0.06912583790418557
134,5.911209243388103,1,4,0.3126374156986458,0.31275514773011515,0.04125131857356443
135,6.065810393063199,1,116,-0.05333610981915626,-0.05392478619946559,-0.03809947653648522
136,6.07202364102088,1,100,-0.05258941630154368,-0.053089030746896367,-0.034852722108739694
137,6.08335362211567,1,244,-0.07857029217029776,-0.08041686810097182,-0.0818997931429513
138,6.08832513646682,1,652,0.028447971526929905,0.030307614339363124,0.04945502848394759
139,6.109206631503264,1,276,-0.07027875270705408,-0.07215285278161875,-0.07803302574727453
140,6.120519382248873,1,308,0.004708478555585316,0.004849030152174315,0.005531312928295609
141,6.129665298386306,1,262,-0.010665583767149656,-0.010935207751072951,-0.01153032663768963
142,6.130738383255535,1,354,0.031467547055399336,0.03255200106873954,0.039719799880979526
143,6.140619645523458,1,150,-0.005361068301226624,-0.0054378304499691455,-0.004361835280542136
144,6.1553720644329575,1,158,0.04730260785026985,0.04801657537220995,0.0395140738224311
145,6.544893943561074,1,387,0.07001376128073389,0.07266004759623336,0.09255079556210169
146,6.556406748994503,1,28,0.11083696855575909,0.11112980070293067,0.03873662086959691
147,6.588881160340103,1,75,-0.06345516376768501,-0.06390622407567634,-0.03637649285048446
148,6.611737373224076,1,76,-0.08595769377507168,-0.0865769150784286,-0.04960613114831164
149,6.652790183729025,1,348,-0.017529186141473474,-0.01812270207747881,-0.021931437774918888
150,6.672894757588554,1,20,0.19779347969870287,0.19816646381801714,0.05840112231192084
151,6.697631186221463,1,796,0.021326486451471283,0.023053432860588793,0.04126379069345308
152,6.723042714739681,1,68,-0.06984367547829606,-0.07029351161689869,-0.03811191306234997
153,6.73331981496164,1,236,-0.07233319904662494,-0.07397618605372691,-0.07412350316652423
154,6.741325559655642,1,216,-0.08486915652383686,-0.08663013037881051,-0.08312304279813976
155,6.767419348362533,1,276,-0.0979635256057918,-0.10057588629085412,-0.1087724244007792
156,6.805921511222726,1,40,-0.027957251301359065,-0.028062889887757625,-0.011684995700967898
