#step;attempt;energy_eV;energy_low_eV;energy_high_eV
263;3404;  -2985.0229083100;  -2980.2140693300;  -2985.0229083100
264;3408;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
265;3411;  -2984.9437768700;  -2980.1235338100;  -2984.9437768700
266;3413;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
267;3428;  -2984.9891125700;  -2981.4648540600;  -2984.9891125700
268;3430;  -2984.9928393600;  -2979.7094175200;  -2984.9928393600
269;3451;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
270;3452;  -2985.1514379700;  -2980.8056797100;  -2985.1514379700
271;3500;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
272;3503;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
273;3505;  -2985.0839353100;  -2981.2146581501;  -2985.0839353100
274;3521;  -2985.0023020900;  -2980.3610585900;  -2985.0023020900
275;3531;  -2984.9444517800;  -2980.8040610400;  -2984.9444517800
276;3545;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
277;3556;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
278;3584;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
279;3594;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
280;3615;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
281;3677;  -2985.1270922000;  -2981.0716693400;  -2985.1270922000
282;3679;  -2984.8554871700;  -2981.2303630600;  -2984.8554871700
283;3682;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
284;3690;  -2984.9587941500;  -2979.8484806400;  -2984.9587941500
285;3709;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
286;3711;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
287;3712;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
288;3724;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
289;3755;  -2985.0179167800;  -2981.0714610700;  -2985.0179167800
290;3776;  -2984.9376696900;  -2980.9605811100;  -2984.9376696900
291;3777;  -2984.9477901800;  -2981.0490770001;  -2984.9477901800
292;3780;  -2984.8965051000;  -2980.0955930800;  -2984.8965051000
293;3793;  -2984.9140620500;  -2980.5785036300;  -2984.9140620500
294;3796;  -2984.8797769500;  -2980.1951702200;  -2984.8797769500
295;3801;  -2984.9376696900;  -2980.9605811100;  -2984.9376696900
296;3826;  -2984.9811403300;  -2980.2855814100;  -2984.9811403300
297;3836;  -2985.0582466500;  -2980.3723852100;  -2985.0582466500
298;3864;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
299;3874;  -2984.9319653500;  -2980.8690045401;  -2984.9319653500
300;3877;  -2984.9269559900;  -2980.3968283200;  -2984.9269559900
301;3879;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
302;3897;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
303;3932;  -2985.0216732300;  -2981.0722002900;  -2985.0216732300
304;3935;  -2985.0094985400;  -2981.2816401401;  -2985.0094985400
305;3947;  -2985.0216732300;  -2981.0722002900;  -2985.0216732300
306;3948;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
307;3954;  -2985.0839353100;  -2981.2146581501;  -2985.0839353100
308;3980;  -2984.9615418300;  -2981.4447027501;  -2984.9615418300
309;3983;  -2984.8942815500;  -2981.0975275400;  -2984.8942815500
310;3999;  -2985.0147760100;  -2981.0266892700;  -2985.0147760100
311;4006;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
312;4012;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
313;4047;  -2985.0341049500;  -2980.8228553101;  -2985.0341049500
314;4060;  -2985.0613874200;  -2980.4391371800;  -2985.0613874200
315;4067;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
316;4087;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
317;4100;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
318;4104;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
319;4141;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
320;4144;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
321;4189;  -2984.9932901500;  -2981.2674961601;  -2984.9932901500
322;4190;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
323;4223;  -2985.0147760100;  -2981.0266892700;  -2985.0147760100
324;4224;  -2985.0179167800;  -2981.0714610700;  -2985.0179167800
325;4230;  -2985.0147760100;  -2981.0266892700;  -2985.0147760100
326;4241;  -2984.8283780800;  -2981.9137568801;  -2984.8283780800
327;4246;  -2984.7314840000;  -2981.2970588000;  -2984.7314840000
328;4254;  -2985.0094985400;  -2981.2816401401;  -2985.0094985400
329;4261;  -2985.0341049500;  -2980.8228553101;  -2985.0341049500
330;4264;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
331;4269;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
332;4287;  -2984.9269559900;  -2980.3968283200;  -2984.9269559900
333;4297;  -2984.7911465600;  -2980.1602638700;  -2984.7911465600
334;4309;  -2985.0613874200;  -2980.4391371800;  -2985.0613874200
335;4310;  -2984.8128474600;  -2980.0688383800;  -2984.8128474600
336;4311;  -2984.9376696900;  -2980.9605811100;  -2984.9376696900
337;4316;  -2984.9022979800;  -2981.2392182701;  -2984.9022979800
338;4318;  -2984.8682408300;  -2981.7688754401;  -2984.8682408300
339;4320;  -2985.0147760100;  -2981.0266892700;  -2985.0147760100
340;4323;  -2985.0179167800;  -2981.0714610700;  -2985.0179167800
341;4329;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
342;4347;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
343;4353;  -2984.7791103600;  -2979.5681530700;  -2984.7791103600
344;4356;  -2984.8440732700;  -2978.7691886900;  -2984.8440732700
345;4373;  -2984.8592703500;  -2979.2113554900;  -2984.8592703500
346;4390;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
347;4397;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
348;4424;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
349;4448;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
350;4470;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
351;4479;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
352;4484;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
353;4486;  -2985.0613874200;  -2980.4391371800;  -2985.0613874200
354;4514;  -2985.1270922000;  -2981.0716693400;  -2985.1270922000
355;4523;  -2985.0179167800;  -2981.0714610700;  -2985.0179167800
356;4531;  -2984.8962894200;  -2980.9047833900;  -2984.8962894200
357;4542;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
358;4561;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
359;4571;  -2985.0216732300;  -2981.0722002900;  -2985.0216732300
360;4581;  -2984.8484196400;  -2980.7267458700;  -2984.8484196400
361;4587;  -2984.8484196400;  -2980.7267458700;  -2984.8484196400
362;4594;  -2984.8484196400;  -2980.7267458700;  -2984.8484196400
363;4606;  -2984.8484196400;  -2980.7267458700;  -2984.8484196400
364;4607;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
365;4641;  -2984.9269559900;  -2980.3968283200;  -2984.9269559900
366;4651;  -2984.8878121500;  -2980.7348903300;  -2984.8878121500
367;4666;  -2984.9046801000;  -2980.4105589200;  -2984.9046801000
368;4673;  -2984.8878121500;  -2980.7348903300;  -2984.8878121500
369;4682;  -2984.7582410900;  -2980.1201375900;  -2984.7582410900
370;4684;  -2984.9714158400;  -2980.6424318901;  -2984.9714158400
371;4689;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
372;4699;  -2984.8302891400;  -2980.4201470400;  -2984.8302891400
373;4700;  -2984.8697097100;  -2981.0369538901;  -2984.8697097100
374;4704;  -2985.0506068900;  -2980.9195006900;  -2985.0506068900
375;4706;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
376;4712;  -2984.9243349200;  -2981.2279628201;  -2984.9243349200
377;4714;  -2984.7850813800;  -2981.4539064901;  -2984.7850813800
378;4716;  -2984.8080091200;  -2981.0805507601;  -2984.8080091200
379;4717;  -2984.8045119700;  -2980.5940337000;  -2984.8045119700
380;4722;  -2984.6081414700;  -2980.6290315900;  -2984.6081414700
381;4727;  -2984.5956293000;  -2980.7876443400;  -2984.5956293000
382;4729;  -2984.8954264000;  -2980.6499322800;  -2984.8954264000
383;4738;  -2985.0004038800;  -2980.9746031300;  -2985.0004038800
384;4740;  -2984.9714158400;  -2980.6424318901;  -2984.9714158400
385;4750;  -2984.8004619500;  -2979.8354562100;  -2984.8004619500
386;4755;  -2984.8004619500;  -2979.8582312700;  -2984.8004619500
387;4760;  -2984.8256465800;  -2980.2638201100;  -2984.8256465800
388;4762;  -2984.8135322000;  -2980.6536475800;  -2984.8135322000
389;4764;  -2984.8927251700;  -2980.6069248800;  -2984.8927251700
390;4765;  -2984.8409769200;  -2980.3965019000;  -2984.8409769200
391;4766;  -2984.8302891400;  -2980.4201470400;  -2984.8302891400
392;4767;  -2984.9589310700;  -2979.9952662700;  -2984.9589310700
393;4769;  -2984.9504274000;  -2980.4605493700;  -2984.9504274000
394;4770;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
