 Configuration with minimum energy:           38
 Configuration with maximum energy:          235

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
       186         8  0.108468E+00      0.0020      0.0002
       187         8  0.136465E+00      0.0007      0.0001
       188         8  0.237038E+00      0.0000      0.0000
       189         8  0.131602E+00      0.0008      0.0001
       190         8  0.285804E+00      0.0000      0.0000
       191         8  0.332771E+00      0.0000      0.0000
       192         8  0.292728E+00      0.0000      0.0000
       193         8  0.252496E+00      0.0000      0.0000
       194         8  0.293648E+00      0.0000      0.0000
       195         8  0.282052E+00      0.0000      0.0000
       196         8  0.297185E+00      0.0000      0.0000
       197         8  0.294767E+00      0.0000      0.0000
       198         8  0.439821E+00      0.0000      0.0000
       199         8  0.300085E+00      0.0000      0.0000
       200         8  0.177142E+00      0.0001      0.0000
       201         8  0.182439E+00      0.0001      0.0000
       202         8  0.145705E+00      0.0005      0.0001
       203         8  0.164823E+00      0.0002      0.0000
       204         8  0.130502E+00      0.0008      0.0001
       205         8  0.272665E+00      0.0000      0.0000
       206         8  0.189819E+00      0.0001      0.0000
       207         8  0.175495E+00      0.0001      0.0000
       208         8  0.343583E+00      0.0000      0.0000
       209         8  0.207373E+00      0.0000      0.0000
       210         8  0.148602E+00      0.0004      0.0001
       211         8  0.177472E+00      0.0001      0.0000
       212         8  0.183638E+00      0.0001      0.0000
       213         8  0.329963E+00      0.0000      0.0000
       214         8  0.188742E+00      0.0001      0.0000
       215         8  0.330095E+00      0.0000      0.0000
       216         8  0.255740E+00      0.0000      0.0000
       217         8  0.126085E+00      0.0010      0.0001
       218         8  0.202818E+00      0.0001      0.0000
       219         8  0.178403E+00      0.0001      0.0000
       220         8  0.148823E+00      0.0004      0.0001
       221         8  0.175501E+00      0.0001      0.0000
       222         8  0.317040E+00      0.0000      0.0000
       223         8  0.167885E+00      0.0002      0.0000
       224         8  0.172262E+00      0.0002      0.0000
       225         8  0.296081E+00      0.0000      0.0000
       226         8  0.250082E+00      0.0000      0.0000
       227         8  0.153657E+00      0.0003      0.0000
       228         8  0.155363E+00      0.0003      0.0000
       229         8  0.216329E+00      0.0000      0.0000
       230         8  0.295007E+00      0.0000      0.0000
       231         8  0.207165E+00      0.0000      0.0000
       232         8  0.334306E+00      0.0000      0.0000
       233         8  0.279312E+00      0.0000      0.0000
       234         8  0.306384E+00      0.0000      0.0000
       235         8  0.468837E+00      0.0000      0.0000
